player_name,top-speed,distance,sprints,intensive-runs
Jeremiah St. Juste,36.1,331.7,573.0,1660.0
Erling Haaland,36.04,275.9,709.0,1804.0
Alphonso Davies,35.97,212.8,679.0,1596.0
Maxence Lacroix,35.75,295.8,595.0,1744.0
Kingsley Coman,35.68,213.5,550.0,1498.0
Rabbi Matondo,35.66,26.9,91.0,210.0
Leon Bailey,35.62,264.1,851.0,2037.0
Moussa Diaby,35.57,270.6,843.0,1899.0
Ragnar Ache,35.54,15.2,47.0,113.0
Jeremie Frimpong,35.53,53.6,196.0,418.0
Paulo Otávio,35.52,206.0,710.0,1600.0
Lukas Klünter,35.45,107.4,205.0,555.0
Dayot Upamecano,35.43,272.4,447.0,1362.0
Silas Wamangituka,35.42,211.1,741.0,1606.0
Sheraldo Becker,35.36,136.3,447.0,1046.0
Marius Wolf,35.27,315.6,693.0,2083.0
Nico Schulz,35.24,76.2,189.0,461.0
Leroy Sané,35.23,211.4,691.0,1671.0
Lukas Klostermann,35.22,176.2,329.0,948.0
Nicolás González,35.22,104.5,386.0,778.0
Ihlas Bebou,35.21,279.6,867.0,2149.0
Roberto Massimo,35.1,94.1,358.0,813.0
Nemanja Radonjic,35.09,69.8,211.0,457.0
Justin Kluivert,35.06,98.3,326.0,741.0
Jonathan Burkardt,35.02,177.6,506.0,1345.0
Christian Günter,34.96,361.0,854.0,2137.0
Deyovaisio Zeefuik,34.96,115.3,327.0,853.0
Jérôme Roussillon,34.92,150.1,382.0,1064.0
Filip Kostic,34.9,307.4,923.0,2341.0
Dodi Lukébakio,34.87,217.8,566.0,1503.0
Alexander Sørloth,34.84,177.7,541.0,1361.0
Almamy Touré,34.82,96.3,236.0,719.0
Emre Can,34.78,242.1,418.0,1192.0
Moussa Niakhaté,34.76,332.8,491.0,1711.0
Youssoufa Moukoko,34.67,52.4,191.0,430.0
Matheus Cunha,34.67,241.6,633.0,1645.0
Kevin Akpoguma,34.65,136.1,313.0,846.0
Mads Pedersen,34.63,109.5,282.0,766.0
Denis Zakaria,34.62,171.4,277.0,937.0
Aymen Barkok,34.57,139.7,391.0,1052.0
Kingsley Ehizibue,34.57,135.1,374.0,886.0
Ismail Jakobs,34.54,213.8,781.0,1768.0
Breel Embolo,34.54,161.5,449.0,1173.0
Iago,34.54,201.8,603.0,1472.0
Karim Bellarabi,34.53,102.7,377.0,858.0
Marc-Oliver Kempf,34.49,305.8,507.0,1559.0
Raphael Framberger,34.48,193.3,561.0,1415.0
Marcus Thuram,34.47,207.9,476.0,1430.0
Yussuf Poulsen,34.46,169.5,528.0,1287.0
Manuel Akanji,34.41,253.7,407.0,1401.0
Jérôme Boateng,34.39,260.4,434.0,1249.0
Leon Goretzka,34.34,210.7,431.0,1292.0
Konstantinos Mavropanos,34.32,165.8,280.0,865.0
Tyler Adams,34.29,242.4,668.0,2030.0
Andreas Voglsammer,34.29,119.5,231.0,705.0
Levin Öztunali,34.28,106.1,239.0,728.0
Borna Sosa,34.26,238.1,523.0,1424.0
Wooyeong Jeong,34.25,118.6,377.0,1043.0
Christopher Nkunku,34.22,231.1,615.0,1706.0
Davie Selke,34.19,105.2,239.0,665.0
Evan Ndicka,34.19,243.7,513.0,1426.0
Nico Elvedi,34.18,285.2,369.0,1189.0
Anderson Lucoqui,34.18,190.7,302.0,1107.0
Maximilian Mittelstädt,34.17,216.1,470.0,1338.0
Benito Raman,34.14,147.7,596.0,1243.0
Ansgar Knauff,34.12,10.7,39.0,95.0
Djibril Sow,34.11,299.0,463.0,1851.0
Christopher Trimmel,34.07,311.9,657.0,1900.0
Sven Schipplock,34.07,98.1,387.0,865.0
Niklas Süle,34.05,173.6,293.0,908.0
Felix Agu,34.0,86.5,207.0,595.0
Dominik Kohr,34.0,195.2,318.0,1130.0
Demarai Gray,34.0,51.4,112.0,331.0
David Abraham,33.97,146.9,291.0,935.0
Stefan Ilsanker,33.96,193.1,372.0,1108.0
Cedric Brunner,33.96,334.4,660.0,2108.0
Christian Gebauer,33.96,97.9,349.0,875.0
Lukas Kübler,33.94,108.2,164.0,579.0
Sead Kolašinac,33.92,174.0,415.0,1051.0
Georginio Rutter,33.91,31.9,87.0,219.0
Alassane Pléa,33.88,213.8,444.0,1484.0
Nordi Mukiele,33.86,196.1,442.0,1326.0
Sargis Adamyan,33.84,60.1,184.0,453.0
Krzysztof Piatek,33.84,213.1,503.0,1478.0
Karim Onisiwo,33.83,222.8,617.0,1651.0
Jannes Horn,33.81,207.4,385.0,1083.0
Niklas Stark,33.81,340.0,581.0,1923.0
Ritsu Doan,33.79,338.6,798.0,2486.0
Luca Netz,33.79,39.9,81.0,281.0
Joao Victor,33.78,67.7,219.0,605.0
Wendell,33.78,175.6,373.0,1141.0
Tahith Chong,33.77,52.1,130.0,404.0
Ömer Toprak,33.77,202.4,262.0,894.0
Serge Gnabry,33.76,200.5,555.0,1532.0
Robert Gumny,33.74,167.7,412.0,1048.0
Lucas Hernández,33.73,186.7,493.0,1304.0
Jean-Philippe Mateta,33.73,118.8,245.0,736.0
Thomas Meunier,33.71,198.6,584.0,1471.0
Ramy Bensebaini,33.7,212.0,486.0,1370.0
Taiwo Awoniyi,33.69,154.7,392.0,1049.0
Tanguy Coulibaly,33.67,187.1,643.0,1593.0
Amine Harit,33.66,250.6,662.0,1846.0
Robert Skov,33.66,143.0,358.0,978.0
Cedric Teuchert,33.63,103.1,223.0,700.0
Patrik Schick,33.63,213.3,474.0,1250.0
Darko Churlinov,33.62,32.5,84.0,275.0
Jorge Meré,33.62,133.0,208.0,599.0
Marcel Sabitzer,33.6,262.6,416.0,1680.0
Sergio Córdova,33.59,127.8,403.0,1001.0
Waldemar Anton,33.58,325.4,695.0,2171.0
Hannes Wolf,33.58,181.2,464.0,1460.0
Ibrahima Konaté,33.57,76.1,137.0,480.0
Florian Grillitsch,33.57,239.0,342.0,1268.0
Fabian Klos,33.56,310.2,674.0,2122.0
Kevin Vogt,33.55,210.5,375.0,1208.0
Jan Thielmann,33.54,137.9,447.0,1183.0
Nico Schlotterbeck,33.53,149.4,225.0,815.0
Steven Zuber,33.53,82.5,173.0,576.0
Kevin Mbabu,33.53,195.3,558.0,1453.0
Giovanni Reyna,33.53,252.7,534.0,1644.0
Eren Dinkci,33.52,17.4,72.0,156.0
Sebastian Griesbeck,33.51,121.7,238.0,827.0
Jonas Hofmann,33.5,249.7,691.0,1926.0
Stefan Lainer,33.49,344.5,895.0,2333.0
Jhon Córdoba,33.48,165.5,413.0,1093.0
Mateo Klimowicz,33.47,156.9,348.0,1072.0
Sebastiaan Bornauw,33.47,217.2,337.0,983.0
Jeffrey Gouweleeuw,33.47,320.4,409.0,1507.0
Christopher Lenz,33.46,278.3,647.0,1931.0
Steven Skrzybski,33.45,58.7,180.0,533.0
Robert Lewandowski,33.45,280.0,501.0,1505.0
Philipp Förster,33.45,207.3,570.0,1695.0
Emmanuel Dennis,33.45,59.8,210.0,470.0
Luka Jovic,33.44,99.4,142.0,481.0
Renato Steffen,33.43,188.3,464.0,1328.0
Amos Pieper,33.4,335.9,478.0,1921.0
Mehmet Can Aydin,33.39,57.7,196.0,432.0
Ruben Vargas,33.39,196.1,542.0,1392.0
Marvin Friedrich,33.37,370.1,449.0,1959.0
André Hahn,33.37,279.2,671.0,1859.0
Marius Bülter,33.36,134.6,306.0,972.0
Pierre Kunde Malong,33.36,63.7,95.0,332.0
Timo Becker,33.35,200.4,426.0,1239.0
Kilian Ludewig,33.33,65.4,172.0,495.0
Angeliño,33.32,265.1,648.0,1835.0
Jamal Musiala,33.3,115.2,200.0,740.0
Makoto Hasebe,33.3,267.7,393.0,1408.0
Milot Rashica,33.27,187.1,457.0,1256.0
Hee-Chan Hwang,33.25,60.6,194.0,510.0
Phillipp Mwene,33.25,220.7,585.0,1686.0
Hamza Mendyl,33.23,12.5,43.0,95.0
Jordan Beyer,33.21,23.2,43.0,123.0
Ridle Baku,33.19,351.5,1061.0,2829.0
Marco Friedl,33.18,304.1,507.0,1574.0
Martin Hinteregger,33.18,285.2,467.0,1432.0
Momo Cissé,33.18,6.4,22.0,51.0
Keita Endo,33.17,60.8,200.0,501.0
Ryan Sessegnon,33.16,200.1,621.0,1539.0
Mark Uth,33.15,178.9,425.0,1402.0
Gonzalo Castro,33.15,221.0,340.0,1302.0
Jonathan Tah,33.14,270.2,441.0,1522.0
Jessic Ngankam,33.14,38.7,87.0,285.0
Nathan de Medina,33.13,76.9,196.0,537.0
Bastian Oczipka,33.12,223.5,498.0,1380.0
Arne Maier,33.12,139.9,269.0,889.0
Joshua Sargent,33.11,314.4,793.0,2244.0
